Time,Location,Audio,Image
2025-01-01 07:00:00,"Home, study room","Speaker 1: Morning, um, I'm making some breakfast for everyone, sweet potato pancakes and scrambled eggs. You know, I was thinking we could have a bit of a schedule for the week, okay so we can plan the lunches and after-school activities.

Speaker 2: That's a great idea, honey. Okay so, let's see, the kids have got sports practice and, um, the older son needs to finish his math homework. Can I, like, check the fridge for some fruit to add to their lunches?

Speaker 3: Actually, Mom, I already packed my lunch. It's got a sandwich, carrot sticks, and, um, a cookie.

Speaker 4: Mommy look! I made a picture with my crayons. See, it's a cat!

Speaker 5: Me too! Me too!

Speaker 1: Ah, nice job, honey. Um, so for lunch, I was thinking we could have some leftovers from last night, maybe, you know, some chicken and rice.

Speaker 2: That sounds good to me. Just, like, make sure the chicken is cooked through, okay?

Speaker 3: But why do we have to have leftovers? Can't we just have, like, pizza or something?

Speaker 4: I want pizza! I love pizza!

Speaker 5: No, no! Me too, pizza!

Speaker 1: Well, we can have pizza for dinner, but, um, leftovers are a good way to reduce food waste, you know?

Speaker 2: That's true, sweetie. Okay so, let's get the kids' lunches ready and then we can start on breakfast.

Speaker 3: Actually, can I go get my book? I need to finish reading it before school.

Speaker 4: Mommy, can I play with my dolls? I want to have a tea party.

Speaker 5: Look at this! I found a penny on the floor!

Speaker 2: Great job finding that, honey. Okay so, let's get the lunches ready and then we can, um, sit down to breakfast together.

Speaker 1: Sounds good to me. This weather is, um, really gloomy today, isn't it?

Speaker 2: Yeah, let's just stay inside and, like, enjoy a quiet morning at home.

Speaker 3: But why is it cold outside? Is it, like, because of the snow or something?

Speaker 4: I don't like the cold, Mommy. Can we have a blanket?

Speaker 5: No, I like the cold! I can go outside and play!

Speaker 1: Well, let's just stay inside for now, okay? I'll get the pancakes ready.

Speaker 2: Great, thanks, honey. Okay so, how's the day shaping up? Any, um, appointments or meetings?

Speaker 1: Um, just a meeting with the marketing team at, you know, 2 pm. That's about it.","A room with light brown wooden flooring in a herringbone pattern. A beige-painted wooden desk with a laptop and a stack of books sits against a wall, next to a cream-colored armchair with a blue blanket draped over it. The white oval coffee table near the armchair holds a book, a water bottle, and a toaster with a bag of bread beside it."
2025-01-01 09:20:00,"Home, bedroom","Speaker 1: Okay, let's find your boots, ah, your snow boots. I think they were under the coat rack, um, somewhere. 

Speaker 2: Sweetie, how about you help Dad find them? 

Speaker 3: But why are they under the coat rack? 

Speaker 1: Well, we, uh, put them there last time. We need to clean up this coat rack, it's a mess. 

Speaker 4: Mommy look, I made a picture! 

Speaker 2: Okay, honey, let me see it. (pause) 

Speaker 3: Actually, I know where the picture is, it's on the fridge. 

Speaker 4: Mommy, can we have hot chocolate after we find the boots? 

Speaker 2: We can, but first let's find those boots. 

Speaker 5: No! I wanna see the picture! Look, look! 

Speaker 2: Okay, okay, sweetie, let's see the picture first. (laughs) 

Speaker 1: So, yeah, let's clean up this coat rack. Where are the boots? 

Speaker 4: I want to help! Can I help? 

Speaker 5: Me too! Me too! 

Speaker 1: Okay, great, you can help. Let's look together. 

Speaker 3: Can I ask, Dad? What's that thing on your shirt? Is it a coffee stain? 

Speaker 1: Ah, yeah, it's a coffee stain from this morning. I had a meeting and I spilled coffee on my shirt. 

Speaker 2: Sweetie, remember when we had breakfast? 

Speaker 4: Mommy, I don't want oatmeal! 

Speaker 2: Okay, how about we have a peanut butter and banana sandwich instead? 

Speaker 1: So, where's the boots? 

Speaker 5: No, I wanna have oatmeal! 

Speaker 2: Okay, sweetie, we can have oatmeal. 

Speaker 3: Can I have a sandwich too? 

Speaker 2: We can have sandwiches for all of us. 

Speaker 1: Alright, let's find those boots. 

Speaker 4: Mommy, I love you! 

Speaker 2: I love you too, sweetie. 

Speaker 1: So... 

Speaker 5: No! I wanna play with blocks! 

Speaker 2: Okay, honey, you can play with blocks after we find the boots. 

Speaker 1: Alright, where's the boots?","A room with light brown wooden flooring in a herringbone pattern. A cream-colored armchair with a blue blanket draped over it sits near a white oval coffee table with a book and a water bottle. A cluttered coat rack above the armchair displays a variety of winter hats, scarves, and two snow boots, one of which is currently being held by a young boy."
2025-01-01 11:54:00,"Office, desk area","Speaker 1: Okay, so I'm almost done paying the bills, just this one more.

Speaker 2: Sweetie, how about we have leftover Chinese for lunch today? I was thinking we could heat it up and-

Kid 1: Mom, Mom, look at this! I drew a picture of a snowman!

Speaker 2: Okay, okay, that's so cute, sweetie. Can you show me your picture later?

Speaker 1: Yeah, okay, just five more minutes.

Speaker 2: Uh, how about we make some hot chocolate to go with lunch?

Speaker 1: Sounds good to me.

Speaker 2: So, okay, I made a schedule for the kids tomorrow, remember when we were talking about Jack's playdate?

Speaker 1: Yeah, I think I saw it on my phone.

Speaker 2: Okay, so it says here that Jack's playdate is at 3 pm at Sarah's house.

Kid 2: Mommy, I'm hungry!

Speaker 2: Okay, okay, sweetie, just a minute. I'm almost done.

Speaker 1: I'm almost done paying this bill.

Speaker 2: Can you remember to pick up more yogurt on your way home from work today? We're almost out.

Speaker 1: Uh, yeah, I think I can do that.

Speaker 2: Like, I was thinking we could also get some broccoli for dinner tonight?

Speaker 1: Sounds good to me, but I have to run a report on this project first.

Speaker 2: Okay, honey, just go ahead and do that. I'll get started on dinner.

Kid 1: Mom, what's for dinner?

Speaker 2: We're going to have broccoli and... uh... what's the other thing we're having?

Speaker 1: I think you said yogurt?

Speaker 2: No, no, the other thing. Oh right, chicken!

Kid 2: Chicken!

Speaker 2: And, sweetie, can you please help me put the dishes away after we eat?

Kid 2: I don't wanna do it!

Speaker 2: Okay, okay, honey, it's not that big of a deal. Just help me for a minute, okay?

Speaker 1: I think I'm done paying the bills now.

Speaker 2: Great, okay so I'm going to start making lunch and-

Kid 1: Mommy, look at the snow outside! It's so pretty!

Speaker 2: Oh, yeah, it's beautiful, sweetie. I love listening to it snow.

Speaker 1: I'm glad I decided to work from home today.

Speaker 2: Yeah, me too. It's nice and quiet in here except for the kids.",A room with light brown wooden flooring in a herringbone pattern. A beige office desk with a silver computer monitor and a keyboard sits under a window with a sliver of a snow-covered landscape visible outside. A cream-colored armchair with a blue blanket draped over it sits near a white oval coffee table with a book and a water bottle.
2025-01-01 14:13:00,"Office, 23rd floor conference room","Speaker 1: Okay, so I paid all the bills online, and now I'm trying to organize this paperwork, but it's just piling up.

Speaker 2: Sweetie, how about we make dinner plans for tonight? Remember when we went to that new Chinese restaurant last week?

Speaker 1: Yeah, it was really good, but, um, I'm not sure if I can make it. I have a meeting at 6 pm and I still need to prep for it.

Speaker 2: Okay so, what about we order something in then? Do you have any preferences?

Speaker 3 (son, 7 years old): Dad, can I have ice cream for dinner? Pleeease?

Speaker 1: Um, not tonight, buddy, we're trying to have a healthy meal. But, like, we can have some fruit or something.

Speaker 4 (daughter, 4 years old): (interrupting) Mommy, can I have juice!

Speaker 2: Okay sweetie, but only in your cup, not on the table. And after we eat, we can watch a movie together.

Speaker 1: That sounds good, yeah. (muttering to himself) Just got to finish this paperwork...

Speaker 5 (son): (excitedly) And can we get the new Lego set I've been wanting?

Speaker 2: (laughing) Okay, let's see, we'll talk about it later, okay? Daddy's busy right now.

Speaker 1: (distracted) Yeah, just give me a minute... (to himself) Where did I put that tax form...

Speaker 6 (daughter): (interrupting) Mommy, I drew a picture!

Speaker 2: (excitedly) Oh, sweetie, let me see! (to Speaker 1) And I think I found the schedule for the kids' school play, let's take a look.

Speaker 1: (distracted) Yeah, that's great, just... (looks at schedule) okay, so it's next Saturday...

Speaker 2: Okay so, that means we need to make sure the kids have their costumes by then. And, sweetie, how's your favorite book coming along?

Speaker 7 (son): (excitedly) Mom, can we go to the park tomorrow? I want to play on the swings!

Speaker 2: (smiling) Okay sweetie, we'll see, let me check the weather forecast. (to Speaker 1) And I think I found the recipe for that new salad we want to try.

Speaker 1: (distracted) Great, yeah, just... (looks at recipe) okay, so it's got, um, quinoa and stuff...

Speaker 2: Okay so, let's make a grocery list, then. And, sweetie, remember to finish your homework tonight.

Speaker 3 (son): (excitedly) Yeah, yeah, I'll do it! Can I have a snack first?

Speaker 2: (laughing) Okay, let's see what we have in the kitchen. (to Speaker 1) I'm going to go make some tea, you want some?

Speaker 1: (distracted) Yeah, that sounds great, thanks...","A 23rd floor conference room with light gray carpeting. 
A beige leather executive chair sits behind a large wooden desk with a cream-colored keyboard tray, a stack of white file folders, and a silver pen holder. 
A cream-colored armchair with a blue blanket draped over it sits near a white oval coffee table with a black leather-bound book and a clear glass water bottle."
2025-01-01 17:06:00,Taxi to Pudong,"Speaker 1: Dad's picking up Xiaoxiao and Haoyang from school later, um, I think it's 17:30, so I gotta, you know, make sure I'm there on time.

Speaker 2: Okay so I'll, uh, make sure to have their homework and snacks ready, sweetie.

Speaker 3 (Xiaoxiao, 8 years old): Mom, can I have a sandwich for dinner? I'm starving!

Speaker 2: We're having dumplings, Xiaoxiao, remember when we went to the dumpling restaurant last week?

Speaker 4 (Haoyang, 5 years old): Look at this! I found a toy robot in the taxi!

Speaker 1: (laughs) What is it? Can I take a picture for, uh, Grandma?

Speaker 2: Okay so I made an appointment for you with Dr. Lee on Friday, so we need to, you know, make sure to be there on time.

Speaker 5 (Xiaoxiao): Can we listen to our favorite album again? 

Speaker 1: Um, let me see if I can find it, so I downloaded a new podcast and it's really interesting.

Speaker 3 (Xiaoxiao): Mom, I need to use the restroom, can we stop at a convenience store?

Speaker 2: Okay, okay, but just for a minute, sweetie.

Speaker 6 (Haoyang): I wanna get a toy car! Look at it!

Speaker 1: (laughs) Haoyang, not now, we're in a taxi, um, try to relax.

Speaker 7: (Taxi driver) We're getting close to Pudong, um, about 10 minutes left.

Speaker 2: Okay so what's the schedule for tomorrow? Do we have anything important?

Speaker 1: Um, let me check my calendar, so I have this meeting with the client at 10 am, and then I need to, you know, work on the project report.

Speaker 8 (Xiaoxiao): Mom, what's for dessert? Can I have ice cream?

Speaker 2: Sweetie, we'll see, okay so let's focus on dinner first, and then we can decide.

Speaker 9 (Haoyang): Yay! Taxi! (laughs)

Speaker 1: (laughs) Yeah, buddy, this is it.

Speaker 10 (Xiaoxiao): Mom, I almost forgot! I have a math test tomorrow, can you help me study?

Speaker 2: Okay, sweetie, we'll, uh, go over the notes together tonight, okay?","A view of a taxi interior with beige vinyl flooring. A cream-colored vinyl seat in the back has a light blue blanket folded over it, and a black purse rests against the door. A white dashboard with a radio display and a speedometer is illuminated by dim blue light."
2025-01-01 19:17:00,"Home, balcony","Speaker 1: Okay, so tonight we're going to do the laundry and get the dishwasher loaded, right, um, honey? I've got to finish this project for work by tomorrow morning.

Speaker 2: That's right, sweetie, and let's make sure the kids do their part, okay so, can you, uh, take charge of folding the clothes for now?

Speaker 3: But why do we have to fold the clothes? Can't the washing machine do it?

Speaker 2: No, sweetie, because then we won't have clean clothes to wear tomorrow.

Speaker 1: That's right, actually, the drying machine will help, but we still have to fold them, um, to put them away.

Speaker 4: Mommy, look! I drew a picture of our family.

Speaker 2: Oh, that's beautiful, honey, let me see it for a second.

Speaker 1: Okay, I think I've got about 90% done here, so let's, uh, get a move on, shall we?

Speaker 4: I want to help too! But why do we have to do laundry?

Speaker 2: Because when we wear clothes, they get dirty and we have to wash them to make them clean again.

Speaker 4: Oh, I see! Like when I spill juice on my shirt.

Speaker 1: Exactly, sweetie, you're a genius!

Speaker 3: Actually, I can help with putting the dishes away.

Speaker 2: That's great, sweetie, can you go put the plates in the right place?

Speaker 5: Me too! Me too!

Speaker 1: Okay, let's get this done, um, we'll take turns putting the dishes away.

Speaker 4: Can I help with the laundry now?

Speaker 2: Not yet, sweetie, you have to finish drawing your picture first.

Speaker 3: I know that the dishwasher was invented to help people wash dishes.

Speaker 1: That's right, actually, it was a big innovation, um, in the 1950s.

Speaker 5: No! I want to play with my Legos!

Speaker 2: Okay, sweetie, you can play later, after we finish the laundry and dishes.

Speaker 4: Can we have ice cream to celebrate when we're done?

Speaker 1: We'll see, honey, how about we have a snack of fruit instead?

Speaker 3: But why do we have to do laundry and dishes every week?

Speaker 2: Because it's part of keeping our home clean and tidy, remember when we used to have a cleaner come in?

Speaker 1: That's right, sweetie, but now we do it together as a family.

Speaker 5: Look! A bird outside!",A room with light brown wooden flooring in a herringbone pattern. A cream-colored armchair with a blue blanket draped over it sits near a white oval coffee table with a book and a water bottle. A stainless steel dishwasher in a kitchenette area on the balcony has utensils and plates stacked within it.
2025-01-01 21:45:00,"Home, bedroom","Speaker 1: Alright, okay, I think I got most of the laundry sorted, um, now to fold it. 

Speaker 2: Sweetie, can you help me with dinner prep? We're making noodles with veggies for tonight.

Speaker 3: I want to help, mom! Can I chop the carrots?

Speaker 1: Yeah, buddy, you can chop the carrots. I'll get the sauce ready.

Speaker 4: Mommy, look! I found a pretty rock outside! Can I show it to daddy?

Speaker 2: Okay, sweetie, we can look at it later. Let's focus on dinner first.

Speaker 1: Right, right. So, uh, what's for dessert? I'm starved.

Speaker 2: I was thinking maybe some banana bread, or um, we could have fruit.

Speaker 3: Actually, mom, I know how to make banana bread. Can I do it?

Speaker 1: That's great, buddy! You're a superstar.

Speaker 4: Me too! I want to be a superstar! 

Speaker 2: Okay, sweetie, everyone can be a superstar. Now, who can set the table?

Speaker 5: Me too! Me too!

Speaker 1: Alright, um, let's get the table set. Who knows where the spoons are?

Speaker 2: I think they're in the drawer, honey. 

Speaker 3: But why do we have to set the table? Can't we just eat on the couch?

Speaker 4: That's not fair! Mommy said we have to set the table.

Speaker 1: It's because mom and I like it when we have a nice table setting. Makes it feel more special.

Speaker 2: That's right, sweetie. It makes dinner time more enjoyable.

Speaker 5: Why is it cold outside? I don't like the cold.

Speaker 1: Yeah, buddy, the weather's pretty chilly. But we're all warm and cozy in here, right?

Speaker 4: I want to go outside and play! Can we go sledding?

Speaker 2: No, not tonight, sweetie. It's too cold and snowy. We can go tomorrow if the weather improves.

Speaker 5: No, no! I wanna go now!

Speaker 1: Okay, okay, it's getting late. Let's focus on dinner and then we can talk about tomorrow.

Speaker 3: But why do I have to go to school tomorrow? Can't I stay home and play?

Speaker 2: Actually, buddy, school is important. And you have to go to school to learn new things.

Speaker 4: I hate school! I want to stay home and be a mommy!

Speaker 1: That's not the way it works, sweetie. Mommy has to go to work to take care of us.

Speaker 5: Me too! Me too!","A room with light brown wooden flooring in a herringbone pattern. A cream-colored armchair with a blue blanket draped over it sits near a white oval coffee table with a book and a water bottle. A queen-sized bed with a dark blue comforter and a few throw pillows is against one wall, partially obscured by a large, floor-to-ceiling window with snow-covered branches visible outside."
2025-01-02 07:16:00,"Home, living room","Speaker 1: So basically, I'm trying to get breakfast ready, but it's like, really hard this morning, um, because the kids are being really energetic, right?

Speaker 2: Okay so, sweetie, why don't you help me get the table set while Dad finishes making the oatmeal?

Speaker 3: But why do we have to have oatmeal again? Can I have cereal instead, please?

Speaker 1: I know you like cereal, but oatmeal is good for you, and besides, we're trying to eat healthier, you know?

Speaker 4: Mommy look, I want a cookie! Can I have a cookie?!

Speaker 2: Not now, sweetie, we're having breakfast, remember when I told you we're trying to eat healthy?

Speaker 3: Actually, I know that, but oatmeal is so boring!

Speaker 1: I know it's not the most exciting thing in the world, but it's good for you, um, and it'll give you energy for school today.

Speaker 5: Me too wanna go to school! I wanna see my friend Timmy!

Speaker 2: Okay, okay, let's get everyone's shoes and backpacks ready, and I'll make sure to pack your lunch, sweetie.

Speaker 1: Yeah, and I just want to remind you, Emily, that you have a project due at school today, so make sure you get started on it as soon as you get home.

Speaker 4: That's not fair! I want a cookie! Please, Mommy, can I have a cookie?

Speaker 2: Not now, sweetie, we'll have cookies later, okay?

Speaker 3: Can I help make the toast, Dad?

Speaker 1: That would be great, buddy, can you go get the bread from the counter for me?

Speaker 5: No, I wanna help! Me too wanna get the bread!

Speaker 2: Okay, let's take turns, everyone, and remember to be patient with each other.

Speaker 4: Look at this! I found a pen under the couch!

Speaker 3: Actually, that's my pen, I was drawing with it yesterday!

Speaker 5: Look look! I see a bug on the wall!

Speaker 1: Okay, okay, let's not focus on the bug right now, we need to get breakfast ready.

Speaker 2: Sweetie, go grab a glass of juice for everyone, please.

Speaker 4: I want apple juice! Not orange juice!

Speaker 3: But why do we have to have juice with breakfast? Can't we have water instead?

Speaker 1: We can have water, but juice is okay too, it's up to you, what do you want?

Speaker 5: Me too want apple juice!

Speaker 2: Okay, okay, let's just have apple juice then, sweetie.

Speaker 1: Alright, breakfast is almost ready, everyone, let's take our seats and eat together as a family.

Speaker 3: Can I sit next to Dad?

Speaker 4: No, I want to sit next to Mommy!

Speaker 5: Me too wanna sit next to Mommy!

Speaker 2: Okay, let's compromise, we can all sit together, and I'll sit in the middle.

Speaker 1: Sounds like a plan, everyone, let's dig in and make today a great day!","A room with light brown wooden flooring in a herringbone pattern. A cream-colored armchair with a blue blanket draped over it sits near a white oval coffee table with a book and a water bottle. The walls are painted a soft beige color, and a large window on the opposite side allows sunlight to illuminate the space."
2025-01-02 09:20:00,"Home, kitchen","Speaker 1: Um, okay, so I'm making toast for breakfast, and oatmeal for the kids. Hope everyone's hungry.

Speaker 2: Sweetie, did you remember to pack their lunches for school today?

Speaker 1: Ah, um, yeah, didn't forget. Got the sandwiches ready, and some fruit, and...

Speaker 3: But why do we have to have lunches? Can't we just have snacks all day?

Speaker 2: Okay so, remember when you were in kindergarten, and we used to pack those cute little sandwiches in the lunchbox?

Speaker 1: (laughs) Oh, right, yeah, those were fun. So, who wants oatmeal with banana or with honey?

Speaker 4: Mommy look, I want honey, but can I have it on the side, please?

Speaker 1: Alright, honey on the side it is. Youngest, how about you?

Speaker 5: Me too!

Speaker 2: (laughs) Okay, sweetie, just one spoonful for now, we'll get the honey later.

Speaker 3: Actually, I know that honey is good for your heart, because we learned about it in school.

Speaker 1: That's right, buddy! Honey's got antioxidants. Now, who wants toast?

Speaker 4: Me! Me! Can I have peanut butter on my toast?

Speaker 2: Okay so, how about we compromise on butter instead?

Speaker 5: No, no, I like peanut butter!

Speaker 1: (laughs) Alright, butter it is. Um, I think we need to get them out the door for school soon...

Speaker 2: (interrupting) Sweetie, I've already made their schedules for the week. It's on the fridge.

Speaker 4: That's not fair! I don't wanna go to school!

Speaker 3: But why does Daddy have to go to work? Can't he just play with us?

Speaker 1: So basically, Daddy has to go to work to pay for our toys and games, and um, stuff.

Speaker 5: Look, Mommy, I drew a picture! (runs to show mother a drawing)

Speaker 2: (smiling) Oh, sweetie, that's lovely! Can I see it?

Speaker 3: Actually, I drew a better picture yesterday. Can I show it to her?

Speaker 1: (distracted) Uh, yeah, great, show it to her, buddy.

Speaker 2: Okay so, let's get everyone's breakfast ready, and then we can get them to school on time.

Speaker 4: Please please can I have a cookie on the way to school?

Speaker 1: (laughs) We'll see, sweetie, maybe after school, okay?","A room with light brown wooden flooring in a herringbone pattern. A cream-colored armchair with a blue blanket draped over it sits near a white oval coffee table. A stainless steel toaster on a granite countertop next to a stainless steel sink, with a box of oatmeal and a loaf of whole wheat bread on the countertop."
2025-01-02 12:45:00,Blue Frog near Century Park,"Speaker 1: Okay, sweetie, I'm gonna go order our lunch, can you just grab the kids for a sec? I don't wanna miss the window.

Speaker 2: Okay, sweetie, I'll get them, you go order, and I'll pay. Um, how about we get the veggie wraps, those are healthy, right?

Speaker 3 (Kid 1, 8-year-old): Mommy, I want a hot chocolate!

Speaker 2: Okay, baby, we'll get you a hot chocolate after we order. Remember, you can't have it till we sit down.

Speaker 4 (Kid 2, 6-year-old): Dad, look at this! (unintelligible toy sounds)

Speaker 1: Okay, kiddo, later, gotta go order. Uh, what was I saying? Oh yeah, the veggie wraps, sound good to you?

Speaker 5 (Kid 1, 8-year-old): Mommy, I want a cookie!

Speaker 2: Sweetie, we just had cookies at home, let's not get another one. Okay, so I was thinking we could go back to the apartment after lunch, I have to work on that project.

Speaker 1: Yeah, I've got to finish up some things too, work's been crazy lately. So basically, I'll just grab everything and we'll go.

Speaker 2: Okay, sounds good, but remember, we have to pick up Jimmy from soccer practice at 3:30.

Speaker 6 (Kid 2, 6-year-old): Look, Daddy's getting me a hot chocolate!

Speaker 1: (laughs) Oh, yeah, baby, I'm getting it for you. You know, so it's cold outside, but in here it's warm and cozy.

Speaker 7 (Kid 1, 8-year-old): Mommy, I had a bad day at school.

Speaker 2: Okay, sweetie, what happened? Tell Daddy and Mommy.

Speaker 1: Yeah, what happened, kiddo? You know, I got stuck in traffic this morning, so I'm a little frazzled.

Speaker 8 (Kid 2, 6-year-old): I drew a picture for you, Daddy! (unintelligible sounds)

Speaker 1: That's great, kiddo, let me see it. (unintelligible sounds)

Speaker 2: Okay, let's just order, we can talk about school later.

Speaker 9 (Kid 1, 8-year-old): Mommy, can we get some fries?

Speaker 2: Okay, baby, we can get a small order of fries, but remember, they're not good for you.

Speaker 10 (Kid 2, 6-year-old): I want to play with my toys!

Speaker 1: Okay, kiddo, you can play with your toys after we eat. Like, Daddy's trying to order here.

Speaker 11 (Kid 1, 8-year-old): Can I have a juice box, Mommy?

Speaker 2: Okay, sweetie, we'll get you a juice box. So, how about we get going, it's cold outside.

Speaker 12 (Kid 2, 6-year-old): I wanna go play!

Speaker 1: Okay, kiddo, let's go, we're almost done. So, uh, how much is this gonna be?

Speaker 2: Um, let me just check, I think it's around 500 kuai.

Speaker 13 (Kid 1, 8-year-old): Can I have a cookie after lunch?

Speaker 2: Sweetie, we just had cookies, let's not get another one.

Speaker 14 (Kid 2, 6-year-old): I wanna go to the bathroom!

Speaker 1: Okay, kiddo, let's go, we'll be right behind you.

Speaker 2: Okay, I'll go with him, you finish up here.

Speaker 15 (Kid 1, 8-year-old): Mommy, I'm hungry!

Speaker 1: Okay, baby, we'll be right there, I'm just gonna grab our stuff.

Speaker 16 (Kid 2, 6-year-old): Look, Mommy's buying me a toy!

Speaker 2: Okay, sweetie, Daddy and I are going to pay, then we'll go.

Speaker 17 (Kid 1, 8-year-old): Can we go to the park now?

Speaker 1: Um, let's just get out of here first, it's freezing outside.

Speaker 2: Okay, sweetie, we can go to the park later, but first, we have to get Jimmy from soccer practice.

Speaker 18 (Kid 2, 6-year-old): I'm tired.

Speaker 1: Okay, kiddo, let's just get out of here and get back to the apartment.

Speaker 2: Okay, sweetie, let's go, I'm cold too.

Speaker 19 (Kid 1, 8-year-old): Mommy, I'm not tired, I wanna go to the park!

Speaker 2: Okay, sweetie, we'll go to the park later, but for now, let's just go home.

Speaker 20 (Kid 2, 6-year-old): Yay!","A view of the interior of Blue Frog near Century Park features a dark hardwood flooring. A rectangular wooden table with a white tablecloth and a metal chair sit near a glass wall with a view of the snow-covered Century Park. A warm glow emanates from pendant lights above the table, casting a soft light on the surrounding area."
